trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
296,False,"{'a': 0.01, 'e': 0.05181891717272583}",25,0,-56.906648718851564,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 2}",0
297,False,"{'a': 0.01, 'e': 0.05130331033191911}",20,0,-31.569223835157906,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
298,False,"{'a': 0.01, 'e': 0.0507928338648985}",25,3,33.8056580114723,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
299,False,"{'a': 0.01, 'e': 0.050287436723591865}",20,6,8.327115498568695,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
300,False,"{'a': 0.01, 'e': 0.049787068367863944}",25,1,36.725491180920926,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
301,False,"{'a': 0.01, 'e': 0.04929167876046215}",20,10,17.594187829195832,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
302,False,"{'a': 0.01, 'e': 0.04880121836201296}",20,6,23.25640852586333,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
303,False,"{'a': 0.01, 'e': 0.04831563812606777}",25,14,16.58021148990822,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
304,False,"{'a': 0.01, 'e': 0.04783488949419837}",25,10,25.135474403144432,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
305,False,"{'a': 0.01, 'e': 0.04735892439114091}",25,20,9.161940987054665,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
306,False,"{'a': 0.01, 'e': 0.046887695219988486}",20,15,8.947521265162084,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
307,False,"{'a': 0.01, 'e': 0.04642115485743125}",20,13,11.359169744283385,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
308,False,"{'a': 0.01, 'e': 0.045959256649044204}",20,0,-25.937268402876246,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
309,False,"{'a': 0.01, 'e': 0.04550195440462157}",25,13,26.445675302764652,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
310,False,"{'a': 0.01, 'e': 0.0450492023935578}",20,14,8.408506068827208,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
311,False,"{'a': 0.01, 'e': 0.044600955340274535}",30,0,0.6887299952674286,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
312,False,"{'a': 0.01, 'e': 0.04415716841969286}",20,0,26.37689034718835,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
313,False,"{'a': 0.01, 'e': 0.04371779725275094}",25,12,25.15672682269954,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
314,False,"{'a': 0.01, 'e': 0.043282797901965896}",25,7,32.128952163932716,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
315,False,"{'a': 0.01, 'e': 0.04285212686704019}",25,8,14.854360123350107,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
316,False,"{'a': 0.01, 'e': 0.042425741080511385}",20,4,11.314136523714506,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
317,False,"{'a': 0.01, 'e': 0.04200359790344555}",20,11,16.933302659828822,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
318,False,"{'a': 0.01, 'e': 0.04158565512117316}",25,20,7.588986874213768,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
319,False,"{'a': 0.01, 'e': 0.04117187093906774}",20,11,15.92723747697311,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
320,False,"{'a': 0.01, 'e': 0.04076220397836621}",25,12,-19.335414955894336,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
321,False,"{'a': 0.01, 'e': 0.04035661327203115}",20,10,16.900649287943605,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
322,False,"{'a': 0.01, 'e': 0.039955058260653896}",20,0,33.53186869485141,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
323,False,"{'a': 0.01, 'e': 0.039557498788398725}",20,8,17.144531752882436,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
324,False,"{'a': 0.01, 'e': 0.039163895098987066}",30,10,36.955844620046754,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
325,False,"{'a': 0.01, 'e': 0.03877420783172201}",25,0,-4.84649678733264,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
326,False,"{'a': 0.01, 'e': 0.038388398017552054}",20,3,27.323152175969348,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
327,False,"{'a': 0.01, 'e': 0.038006427075174314}",25,13,18.459702784803042,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
328,False,"{'a': 0.01, 'e': 0.0376282568071762}",30,13,-46.097684529557874,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 1}",1
329,False,"{'a': 0.01, 'e': 0.03725384939621581}",25,16,5.319401025340797,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
330,False,"{'a': 0.01, 'e': 0.036883167401239994}",20,9,20.525146315035848,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
331,False,"{'a': 0.01, 'e': 0.0365161737537404}",25,0,6.324462144767844,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
332,False,"{'a': 0.01, 'e': 0.03615283175404641}",30,16,18.65308228828879,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
333,False,"{'a': 0.01, 'e': 0.0357931050676553}",25,2,35.14233266451776,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
334,False,"{'a': 0.01, 'e': 0.03543695772159864}",25,14,21.563708419800637,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
335,False,"{'a': 0.01, 'e': 0.035084354100845025}",20,12,3.669197934146525,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
336,False,"{'a': 0.01, 'e': 0.03473525894473856}",30,2,48.99320329971245,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 0}",1
337,False,"{'a': 0.01, 'e': 0.03438963734347271}",30,12,26.34828571216151,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
338,False,"{'a': 0.01, 'e': 0.034047454734599344}",20,15,-32.21024997564237,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 1}",1
339,False,"{'a': 0.01, 'e': 0.033708676899572396}",20,8,22.182127257798918,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
340,False,"{'a': 0.01, 'e': 0.03337326996032608}",20,10,18.968994625463957,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
341,False,"{'a': 0.01, 'e': 0.03304120037588693}",25,15,17.84419827762548,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
342,False,"{'a': 0.01, 'e': 0.03271243493901982}",20,0,27.225285126517427,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
343,False,"{'a': 0.01, 'e': 0.03238694077290704}",20,1,-1.0744917182565938,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 0}",1
344,False,"{'a': 0.01, 'e': 0.03206468532786077}",25,0,-8.601298209059923,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
345,False,"{'a': 0.01, 'e': 0.03174563637806794}",20,0,18.10943869873143,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
346,False,"{'a': 0.01, 'e': 0.03142976201836771}",30,4,0.028415406166412582,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 1}",1
